English,German
ruined,ruiniert
gate,Tor
william,Wilhelm
spread,verbreiten
outta,raus
japanese,japanisch
sudden,plötzlich
coat,Mantel
sooner,früher
cheese,Käse
larry,Larry
spring,Frühling
page,Seite
ears,Ohren
simon,Simon
castle,Schloss
hidden,versteckt
storm,Sturm
cos,cos
personally,persönlich
artist,Künstler
hill,hügel
exciting,spannend
permission,Erlaubnis
jerry,Jerry
expensive,teuer
tickets,Tickets
forest,Wald
barely,kaum
eggs,Eier
goin,hineingehen
regret,Reue
lesson,Lektion
lover,Liebhaber
bread,brot
andy,Andy
subject,Thema
legal,legal
growing,wachsend
ill,krank
jason,Jason
mood,Stimmung
owner,Eigentümer
caused,verursacht
beeping,piept
points,Punkte
dating,Dating
loss,Verlust
secretary,Sekretär
revenge,Rache
santa,Weihnachtsmann
likely,wahrscheinlich
rent,mieten
connection,Verbindung
assistant,Assistent
reasons,Gründe dafür
yelling,Geschrei
painting,Malerei
trees,Bäume
doctors,Ärzte
rush,eilen
foreign,ausländisch
rough,rauh
murderer,Mörder
century,Jahrhundert
nights,Nächte
pair,Paar
runs,läuft
pocket,Tasche
farm,Bauernhof
matt,matt
bike,Fahrrad
obvious,offensichtlich
ate,aß
grew,wuchs
professional,Fachmann
tim,Tim
goodness,Güte
parts,Teile
alan,Alan
university,Universität
square,Quadrat
grandfather,Großvater
europe,Europa
genius,Genius
cases,Fälle
ruin,Ruine
winter,Winter
tongue,Zunge
memories,Erinnerungen
da,da
buying,Kauf
cancer,Krebs
clock,Uhr
ocean,Ozean
dna,DNA
liar,Lügner
tour,Tour
thief,Dieb
bleep,piep
lisa,Lisa
rights,Rechte
including,einschließlich
competition,Wettbewerb
smith,Schmied
planned,geplant
emily,Emily
boring,langweilig
victims,die Opfer
mentioned,erwähnt
bones,Knochen
plant,Anlage
bless,segnen
warning,Warnung
knocking,Klopfen
re,Re
crash,Absturz
bedroom,Schlafzimmer
lower,untere
silver,Silber
groaning,Stöhnen
madame,Madame
defense,Verteidigung
results,Ergebnisse
toilet,Toilette
event,Ereignis
complicated,kompliziert
shape,Form
priest,Priester
royal,königlich
cheap,billig
romantic,romantisch
downstairs,unten
invite,einladen
fortune,Vermögen
tears,Tränen
avoid,vermeiden
reached,erreicht
higher,höher
familiar,vertraut
telephone,Telefon
burning,Verbrennung
filled,gefüllt
kelly,Kelly
alice,Alice
airport,Flughafen
jobs,Arbeitsplätze
grown,gewachsen
walter,Walter
rachel,Rachel
giant,Riese
insurance,Versicherung
woods,Wald
n,N
scare,Schrecken
pleased,erfreut
period,Zeitraum
political,politisch
player,Spieler
stops,stoppt
secrets,Geheimnisse
laura,Laura
repeat,wiederholen
photos,Fotos
finds,findet
statement,Stellungnahme
suck,saugen
younger,jünger
china,China
humans,Menschen
delicious,lecker
particular,besondere
proper,richtig
rome,Rom
belongs,gehört
attacked,angegriffen
bath,Bad
hired,gemietet
site,Website
knowledge,Wissen
b,B
led,LED
guests,Gäste
celebrate,feiern
map,Karte
horn,Horn
eventually,letztlich
pity,Mitleid
powers,Befugnisse
ashamed,beschämt
assume,annehmen
glasses,Gläser
rise,erheben
fixed,Fest
request,Anfrage
officers,Offiziere
pounds,Pfund
data,Daten
carefully,sorgfältig
per,pro
depends,kommt darauf an
jury,Jury
waited,gewartet
positive,positiv
attorney,Rechtsanwalt
direction,Richtung
families,Familien
clock,Uhr
doin,tun
forces,Kräfte
location,Standort
walls,Wände
useless,nutzlos
grant,gewähren
saving,sparen
speaks,spricht
fought,gekämpft
meal,Mahlzeit
deliver,liefern
answers,Antworten
changing,Ändern
temple,Tempel
scary,beängstigend
millions,Millionen
offered,angeboten
regular,regulär
carrying,Tragen
official,offiziell
jacket,Jacke
switch,schalten
grave,Grab
chase,Verfolgungsjagd
role,Rolle
odd,seltsam
sexy,sexy
faces,Gesichter
becomes,wird
closes,schließt
badly,schlecht
tall,groß
confused,verwirrt
affair,Affäre
television,Fernsehen
shock,Schock
raised,erzogen
panting,keuchend
pizza,Pizza
image,Bild
clears,klärt
golden,golden
patients,Patienten
watched,schaute
committed,engagiert
sexual,sexuell
suffer,leiden
arthur,Arthur
wherever,wo auch immer
plate,Platte
appear,erscheinen
chocolate,Schokolade
clever,clever
hm,Hm
mercy,Barmherzigkeit
shots,Schüsse
lucy,lucy
dealing,handeln
trap,fangen
charges,Gebühren
phil,phil
bang,Knall
poison,Gift
butt,Hintern
drove,Gefahren
yourselves,euch
headed,geleitet
babies,Babys
yellow,Gelb
soup,Suppe
mystery,Geheimnis
picking,pflücken
sat,saß
wound,Wunde
traffic,Verkehr
courage,Mut
hunt,Jagd
indian,indisch
rat,Ratte
terms,Bedingungen
italian,Italienisch
emma,Emma
checking,Überprüfung
disease,Krankheit
managed,gelang es
winner,Gewinner
council,Rat
appointment,Termin
monday,Montag
crack,Riss
threat,Gefahr
jenny,Jenny
physical,körperlich
nation,Nation
source,Quelle
chose,wählte
healthy,gesund
carl,Carl
victory,Sieg
rick,Rick
stood,stand
kicked,getreten
annie,annie
disgusting,ekelhaft
palace,Palast
below,unten
shopping,Einkaufen
neighborhood,Nachbarschaft
march,Marsch
lips,Lippen
midnight,Mitternacht
piss,Piss
advantage,Vorteil
pure,rein
india,Indien
aside,beiseite
jerk,Ruck
mail,Post
dawn,Dämmerung
effect,Wirkung
spell,Fluch
freak,Freak
wood,Holz
screwed,aufgeschmissen
enemies,Feinde
gary,gary
awake,wach
chuckling,kichert
vacation,Urlaub
violence,Gewalt
leo,Löwe
grandmother,Oma
modern,modern
luke,Luke
firm,Firma
prime,Primzahl
heh,heh
touched,berührt
talent,Talent
whore,Hure
piano,Klavier
license,Lizenz
cooking,Kochen
honour,Ehre
concern,Sorge
moves,bewegt sich
available,verfügbar
factory,Fabrik
gods,Götter
value,Wert
central,zentral
union,Union
mirror,Spiegel
studio,Studio
media,Medien
taxi,Taxi
dies,stirbt
iron,Eisen
hearts,Herzen
desire,Wunsch
rob,rauben
claire,Claire
fred,Fred
songs,Lieder
washington,Washington
monkey,Affe
pride,Stolz
pills,Pillen
miracle,Wunder
swim,schwimmen
burned,verbrannt
smells,riecht
joking,scherzen
christian,Christian
bleeding,Blutung
hook,Haken
beating,Prügel
protection,Schutz
treatment,Behandlung
ear,Ohr
carter,Fuhrmann
metal,Metall
disappear,verschwinden
grateful,dankbar
extremely,äußerst
treasure,Schatz
rescue,Rettung
capable,fähig
passing,Vorbeigehen
chatter,Geschwätz
result,Ergebnis
suffering,leiden
sisters,Schwestern
laid,gelegt
governor,Gouverneur
guards,Wachen
louis,Louis
text,Text
literally,buchstäblich
remove,entfernen
becoming,Werden
performance,Leistung
stronger,stärker
rate,Rate
deeply,tief
scream,Schrei
desert,Wüste
vehicle,Fahrzeug
illegal,illegal
pulling,ziehen
throwing,werfen
josh,Josh
unbelievable,unglaublich
ted,ted
zero,null
dean,Dean
curious,neugierig
sean,Sean
candy,Süßigkeiten
bone,Knochen
tied,gebunden
edge,Rand
load,Belastung
susan,Susan
ahh,ahh
mountains,Berge
boom,Boom
former,ehemalig
holiday,Urlaub
riding,Reiten
scoffs,spottet
hundreds,Hunderte
motherfucker,Wichser
sue,verklagen
bags,Taschen
stealing,stehlen
appears,erscheint
arrive,ankommen
remains,Überreste
decent,anständig
issues,Probleme
tip,Tipp
fail,scheitern
bride,Braut
pissed,besoffen
penny,Penny
claim,beanspruchen
friendship,Freundschaft
desperate,verzweifelt
flower,Blume
dramatic,dramatisch
refuse,verweigern
solve,lösen
theme,Thema
loving,liebend
properly,richtig
dragon,Drachen
mostly,meistens
chuck,Futter
directly,direkt
surface,Oberfläche
FALSE,FALSCH
cast,gießen
junior,Junior
hunting,Jagd
silent,still
thou,du
egg,Ei
germany,Deutschland
punch,schlagen
africa,Afrika
woke,wachte auf
intelligence,Intelligenz
borrow,ausleihen
winning,gewinnen
falls,Stürze
popular,beliebt
escaped,entkam
witch,Hexe
convinced,überzeugt
warn,warnen
announcer,Ansager
champagne,Sekt
dust,Staub
kyle,Kyle
someday,irgendwann mal
fallen,gefallen
stranger,Fremder
presence,Gegenwart
tear,Träne
st.,st.
internet,Internet
monsieur,Monsieur
therefore,daher
technology,Technologie
tires,Reifen
toast,Toast
wise,weise
clark,Clark
americans,Amerikaner
notes,Anmerkungen
smoking,Rauchen
hank,Strang
ls,ls
april,April
wolf,Wolf
precious,wertvoll
rooms,Räume
coast,Küste
treated,behandelt
material,Material
released,freigegeben
uniform,Uniform
hated,gehasst
considered,berücksichtigt
rice,Reis
exchange,Austausch
steps,Schritte
blake,Blake
convince,überzeugen
beast,Tier
cow,Kuh
files,Dateien
signs,Zeichen
drag,ziehen
cab,Taxi
hung,aufgehängt
carried,getragen
ordinary,normal
successful,erfolgreich
eve,Vorabend
mistakes,Fehler
houses,Häuser
chattering,plappern
brains,Gehirne
japan,Japan
creature,Kreatur
fourth,vierte
separate,separate
cleaning,Reinigung
california,Kalifornien
lf,lf
ll,ll
shift,Schicht
elizabeth,Elisabeth
chicago,Chicago
exact,genau
karen,Karen
goal,Ziel
expert,Experte
served,serviert
direct,Direkte
score,Punktzahl
row,Reihe
marks,Markierungen
twenty,zwanzig
receive,erhalten
series,Serie
section,Abschnitt
pilot,Pilot
jackson,Jackson
darkness,Dunkelheit
thy,deine
sale,Verkauf
destiny,Bestimmung
cure,Heilung
spoken,gesprochen
armed,bewaffnet
rare,selten
helen,Helen
grade,Grad
juice,Saft
wide,breit
tower,Turm
solution,Lösung
schedule,Zeitplan
explosion,Explosion
wheel,Rad
cigarette,Zigarette
julie,Julie
fruit,Obst
blew,geblasen
victor,Sieger
talks,Gespräche
sacrifice,opfern
range,Reichweite
button,Taste
reports,Berichte
prisoner,Häftling
pie,Kuchen
effort,Bemühung
youth,Jugend
pot,Topf
eaten,gegessen
taylor,Taylor
knees,Knie
garage,Garage
parking,Parken
ambulance,Krankenwagen
staring,starrt
chances,Chancen
circumstances,Umstände
sin,Sünde
gordon,Gordon
progress,Fortschritt
unusual,ungewöhnlich
county,Bezirk
stairs,Treppe
campaign,Kampagne
mon,Mo
vision,Vision
reporter,Reporter
equipment,Ausrüstung
moments,Momente
joey,Joey
mass,Masse
alien,Außerirdischer
trapped,gefangen
helps,hilft
route,Route
defend,verteidigen
trace,verfolgen
nasty,böse
tests,Tests
magazine,Zeitschrift
rocks,Felsen
dump,entsorgen
rude,unhöflich
searching,suchen
clue,Hinweis
connected,in Verbindung gebracht
amen,Amen
pushed,geschoben
merry,Fröhlich
zone,Zone
senior,Senior
closing,Schließen
freeze,einfrieren
emperor,Kaiser
incident,Vorfall
snake,Schlange
mexico,Mexiko
lily,Lilie
actor,Schauspieler
newspaper,Zeitung
sentence,Satz
greg,Gregor
leading,führend
friendly,freundlich
jones,Jones
chosen,gewählt
engaged,beschäftigt
julia,Julia
charming,charmant
mustn,muss
anger,Wut
spending,Ausgaben
learning,Lernen
spy,Spion
sharp,scharf
shadow,Schatten
warrant,Gewährleistung
elevator,Aufzug
kingdom,Königreich
ricky,Ricky
jamie,Jamie
squad,Kader
shoulder,Schulter
wave,Welle
amanda,Amanda
highness,Hoheit
kinds,Arten
fishing,Angeln
sometime,irgendwann
attitude,Attitüde
sucks,scheiße
negative,Negativ
screen,Bildschirm
workers,Arbeitskräfte
bored,gelangweilt
cameras,Kameras
similar,ähnlich
understanding,Verständnis
beeps,piepst
chain,Kette
bull,Stier
gasping,keuchend
fully,völlig
robin,Robin
collect,sammeln
gorgeous,wunderschön
morgan,Morgan
passion,Hingabe
writer,Schriftsteller
empire,Reich
international,International
curse,Fluch
hire,mieten
bastards,Bastarde
puts,setzt
leads,führt
id,Ausweis
blows,Schläge
sons,Söhne
estate,Anwesen
customers,Kunden
maggie,Maggie
gunshot,Schuss
i-,ich-
device,Gerät
troops,Truppen
hug,Umarmung
design,Design
movement,Bewegung
thunder,Donner
object,Objekt
loser,Verlierer
pen,Stift
sobbing,Schluchzen
politics,Politik
despite,trotz
alcohol,Alkohol
climb,steigen
clients,Kunden
conference,Konferenz
provide,bieten
marty,marty
seek,suchen
witnesses,Zeugen
earn,verdienen
trash,Müll
valley,Schlucht
fashion,Mode
howard,Howard
episode,Folge
prize,Preis
previously,vorher
sports,Sport
wanting,wollen
debt,Schulden
wishes,wünscht sich
hitler,Hitler
wire,Draht
thee,dich
circle,Kreis
approach,Ansatz
stock,Aktie
facts,Fakten
remembered,fiel ein
percent,Prozent
normally,normalerweise
tail,Schwanz
joined,beigetreten
education,Ausbildung
bravo,Bravo
library,Bibliothek
rape,vergewaltigen
wings,Flügel
growling,knurrt
thrown,geworfen
tank,Panzer
exhales,atmet aus
authority,Behörde
current,aktuell
failure,Versagen
nightmare,Alptraum
hitting,schlagen
glory,Ruhm
knocked,geklopft
studying,studieren
barry,barry
agency,Agentur
apple,Apfel
border,Grenze
rope,Seil
duck,Ente
reputation,Ruf
confidence,Vertrauen
yard,Hof
beloved,geliebten
lack,Mangel
actual,tatsächlich
skills,Fähigkeiten
films,Filme
mental,mental
salt,Salz
flesh,Fleisch
anne,Anne
secure,sicher
highly,höchst
federal,föderal
sand,Sand
emotional,emotional
setting,Einstellung
nothin,nichts
senator,Senator
services,Dienstleistungen
robbery,Raub
hates,hasst
fed,gefüttert
reward,belohnen
theater,Theater
johnson,Johnson
commit,begehen
patrick,Patrick
entirely,vollständig
extraordinary,außergewöhnlich
ships,Schiffe
opposite,Gegenteil
parties,Parteien
stands,steht
terry,Frottee
chat,Plaudern
events,Veranstaltungen
mummy,Mumie
bay,Bucht
slip,Unterhose
disappointed,enttäuscht
settled,erledigt
begins,beginnt
andrew,Andrew
alert,Alarm
detail,Detail
pink,Rosa
fellas,Kumpel
accepted,akzeptiert
background,Hintergrund
garbage,Müll
panic,Panik
minds,Köpfe
belt,Gürtel
blowing,weht
hollywood,Hollywood
agreement,Vereinbarung
jackie,Jackie
pushing,drängen
ability,Fähigkeit
tiger,Tiger
whispering,Flüstern
culture,Kultur
saint,Heilige
jesse,Jesse
task,Aufgabe
solid,solide
doll,Puppe
intend,beabsichtigen
district,Bezirk
pa,pa
gee,Mensch
custody,Gewahrsam
ignore,ignorieren
naturally,natürlich
useful,nützlich
attempt,versuchen
abandoned,verlassen
cutting,Schneiden
kissed,geküsst
guarantee,Garantie
barking,Gebell
gather,versammeln
policy,Politik
u.s.,uns.
violent,gewalttätig
maid,Dienstmädchen
embarrassing,peinlich
childhood,Kindheit
wasting,Verschwendung
bow,Bogen
chick,Küken
sara,Sara
disaster,Katastrophe
revolution,Revolution
online,online
f,F
demon,Dämon
heavily,schwer
coincidence,Zufall
perform,ausführen
thin,dünn
terrific,ausgezeichnet
mac,Mac
crown,Krone
identity,Identität
virgin,Jungfrau
impressive,beeindruckend
windows,Fenster
no-one,niemand
potential,Potenzial
guitar,Gitarre
committee,Ausschuss
dozen,Dutzend
delivery,Lieferung
advance,Vorauszahlung
quietly,ruhig
stan,Stan
teaching,Lehren
hunter,Jäger
latest,neueste
hurting,tut weh
swing,schwingen
capital,Hauptstadt
counting,Zählen
drew,zog
dirt,Schmutz
whistle,Pfeife
marie,Marie
hits,Treffer
doug,doug
deny,leugnen
urgent,dringend
threatened,bedroht
behavior,Verhalten
molly,molly
mixed,gemischt
stays,bleibt
assure,versichern
subtitles,Untertitel
explanation,Erläuterung
wins,Gewinnt
unique,einzigartig
chasing,jagend
billion,Milliarde
duke,Herzog
production,Produktion
slave,Sklave
agents,Agenten
carol,Carol
lets,Lasst uns
cruel,grausam
mask,Maske
sally,Ausfall
behave,benehmen
bury,begraben
massive,fest
pathetic,erbärmlich
species,Spezies
approaching,nähert sich
jo,jo
loan,Darlehen
struggle,Kampf
dish,Gericht
trusted,Vertrauenswürdige
jumped,sprang
firing,Brennen
channel,Kanal
abby,Abby
stopping,stoppen
asks,fragt
jean,Jeans
swimming,Baden
daily,täglich
basement,Keller
linda,Linda
quarter,Quartal
erm,ähm
bound,gebunden
navy,Marine
article,Artikel
guide,Führung
accused,beschuldigt
transfer,überweisen
guts,Innereien
quality,Qualität
fella,Kerl
roman,römisch
greater,größer
damned,verdammt
couch,Couch
cheer,jubeln
vegas,Vegas
shoe,Schuh
title,Titel
shy,schüchtern
punishment,Bestrafung
los,los
clicks,Klicks
you,Du
closet,Kleiderschrank
bye-bye,Tschüss
fever,Fieber
coward,Feigling
flash,Blitz
impressed,beeindruckt
bruce,Bruce
siren,Sirene
prisoners,Gefangene
sides,Seiten
bowl,Schüssel
katie,Katie
supply,liefern
sensitive,empfindlich
hopefully,hoffentlich
rolling,rollen
roy,Roy
dollar,Dollar
tone,Ton
voices,Stimmen
g,G
i,ich
cheating,schummeln
confess,bekennen
demand,Nachfrage
museum,Museum
unknown,Unbekannt
drama,Theater
suspicious,verdächtig
adult,Erwachsene
todd,todd
frightened,erschrocken
warned,gewarnt
steady,stetig
kills,tötet
crossed,gekreuzt
lou,Lou
particularly,insbesondere
sandwich,Sandwich
laws,Gesetze
joint,gemeinsam
bullets,Kugeln
package,Paket
trained,ausgebildet
thursday,Donnerstag
boots,Stiefel
possibility,Wahrscheinlichkeit
albert,Albert
civil,bürgerlich
june,Juni
germans,Deutsche
baseball,Baseball
express,äußern
miserable,miserabel
tuesday,Dienstag
parker,Parker
lion,Löwe
joseph,Joseph
refused,abgelehnt
shine,scheinen
assault,Angriff
hong,hong
jokes,Witze
breaks,geht kaputt
argue,argumentieren
you-,Du-
trail,Pfad
option,Möglichkeit
recall,abrufen
mighty,mächtig
collection,Sammlung
oliver,Oliver
wilson,Wilson
accent,Akzent
believes,glaubt
decisions,Entscheidungen
embarrassed,beschämt
mobile,"Handy, Mobiltelefon"
customer,Kunde
terribly,fürchterlich
sec,Sek
charity,Wohltätigkeit
considering,angesichts
pussy,Muschi
donna,Donna
protecting,beschützen
flag,Flagge
kidnapped,entführt
italy,Italien
balance,Gleichgewicht
creatures,Kreaturen
nuclear,nuklear
wallet,Geldbörse
shout,schreien
vincent,Vincent
entered,trat ein
impression,Eindruck
angela,Angela
jay,Jay
degrees,Grad
favour,favorisieren
reaction,Reaktion
network,Netzwerk
jessica,Jessica
version,Ausführung
concert,Konzert
gear,Gang
singer,Sänger
diamond,Diamant
defeat,Verlust
steven,Steven
lane,Fahrbahn
blast,Explosion
wounded,verwundet
anytime,jederzeit
partners,Partner
ages,Alter
charlotte,Charlotte
ceremony,Zeremonie
league,Liga
bars,Riegel
orange,orange
specific,Spezifisch
conditions,Bedingungen
plastic,Plastik
crisis,Krise
fifth,fünfte
term,Begriff
self,selbst
offering,Angebot
bud,Knospe
suffered,gelitten
reported,gemeldet
commissioner,Kommissar
rip,Ruhe in Frieden
mysterious,geheimnisvoll
entrance,Eingang
messed,durcheinander
tunnel,Tunnel
designed,entworfen
neighbor,Nachbar
aboard,an Bord
sweat,Schweiß
justin,Justin
ghosts,Geister
crimes,Verbrechen
costs,Kosten
deserves,verdient
dreaming,träumend
bust,Büste
el,el
teddy,Teddy
kong,Kong
messages,Mitteilungen
enjoying,genießen
afterwards,nachher
comfort,Komfort
mason,Mason
surrender,aufgeben
gym,Fitnessstudio
kitty,Kätzchen
crush,zerquetschen
yup,Jawohl
arranged,vereinbart worden
suits,Anzüge
pee,pinkeln
stress,Stress
cave,Höhle
wing,Flügel
jordan,Jordanien
arrange,arrangieren
comrade,Genosse
noble,edel
tricks,Tricks
betty,Betty
launch,Start
legend,Legende
mix,mischen
golf,Golf
imagination,Vorstellung
